episode,reward,length,success,cliff_hits,lure_visits,avg_td_error,epsilon
55,147.0,200,0,1,61,9.36992091812598,0.11442939962114936
56,96.0,200,0,4,62,5.546233740074517,0.11385725262304361
57,157.0,200,0,3,69,6.565936884264969,0.1132879663599284
58,88.0,200,0,6,67,7.456546835143504,0.11272152652812875
59,606.0,200,0,4,147,6.652650977066778,0.11215791889548811
60,532.0,200,0,6,141,8.893385613303089,0.11159712930101066
61,104.0,200,0,2,57,12.611502707756568,0.11103914365450561
62,585.0,200,0,1,134,7.297189711714598,0.11048394793623308
63,175.0,200,0,3,72,8.018765280569042,0.10993152819655191
64,159.0,200,0,1,63,7.899053287260059,0.10938187055556915
65,223.0,200,0,3,80,5.408899822563577,0.1088349612027913
66,159.0,200,0,1,63,6.469861476017112,0.10829078639677735
67,787.0,200,0,3,174,4.764849313689529,0.10774933246479346
68,725.0,200,0,5,170,11.43396678926663,0.10721058580246949
69,786.0,200,0,4,177,8.7573218153466,0.10667453287345714
70,667.0,200,0,3,154,10.314853333218526,0.10614116020908985
71,539.0,200,0,5,139,11.044328671692728,0.10561045440804441
72,411.0,200,0,7,124,17.911518902417523,0.10508240213600419
73,676.0,200,0,6,165,9.990387633941594,0.10455699012532417
74,292.0,200,0,12,120,13.629486366681958,0.10403420517469755
75,289.0,200,0,3,91,8.100678538168085,0.10351403414882407
76,-78.0,200,0,16,71,10.156970116380856,0.10299646397807995
77,-232.0,200,0,8,20,9.399643449116851,0.10248148165818954
78,-3.0,200,0,7,55,10.242612897486383,0.1019690742498986
79,16.0,200,0,6,55,8.011866731328066,0.1014592288786491
80,-241.0,200,0,11,28,9.449393119104277,0.10095193273425584
81,467.0,200,0,5,127,7.287015233194025,0.10044717307058457
82,277.0,200,0,3,89,6.465612143611702,0.09994493720523165
83,756.0,200,0,4,172,7.957431788921172,0.09944521251920549
84,504.0,200,0,4,130,10.384023180485192,0.09894798645660946
85,320.0,200,0,2,93,8.218506398802552,0.09845324652432641
86,224.0,200,0,2,77,8.790765359243494,0.09796098029170477
87,685.0,200,0,3,157,6.766810652016353,0.09747117539024625
88,811.0,200,0,3,178,8.739174695288543,0.09698381951329502
89,868.0,200,0,0,178,8.390643844649214,0.09649890041572855
90,734.0,200,0,2,162,8.69081531988386,0.0960164059136499
91,694.0,200,0,6,168,8.543397849109526,0.09553632388408166
92,822.0,200,0,4,183,7.318909379315865,0.09505864226466125
93,137.0,200,0,11,91,11.57032042229355,0.09458334905333794
94,515.0,200,0,5,135,7.685842298800524,0.09411043230807126
95,830.0,200,0,2,178,8.141565602811724,0.0936398801465309
96,371.0,200,0,5,111,9.334454986092341,0.09317168074579824
97,284.0,200,0,2,87,11.653381044528668,0.09270582234206924
98,283.0,200,0,3,90,6.131168330026713,0.09224229323035889
99,476.0,200,0,2,119,9.302217681800583,0.09178108176420709
100,624.0,200,0,4,150,7.4991490815233295,0.09132217635538604
101,830.0,200,0,2,178,5.127915520165458,0.09086556547360912
102,148.0,200,0,0,58,12.033494582821477,0.09041123764624108
103,477.0,200,0,1,116,10.938037749076493,0.08995918145800988
104,48.0,51,1,1,17,6.7162439674356875,0.08950938555071983
105,143.0,200,0,5,73,12.017286115467737,0.08906183862296622
106,380.0,200,0,2,103,8.590048280940065,0.08861652942985139
107,334.0,200,0,6,108,6.189951643075112,0.08817344678270213
108,502.0,200,0,6,136,8.648872151142752,0.08773257954878862
109,813.0,200,0,1,172,7.850002643865918,0.08729391665104468
110,750.0,200,0,4,171,9.150416320460598,0.08685744706778945
111,922.0,200,0,0,187,7.507650097110157,0.0864231598324505
112,909.0,200,0,1,188,9.724649991411937,0.08599104403328825
113,859.0,200,0,3,186,6.757839673161309,0.08556108881312181
114,412.0,200,0,0,102,7.466895419835368,0.0851332833690562
115,172.0,200,0,0,62,10.200203189535436,0.08470761695221092
116,35.0,200,0,5,55,7.3884703092346875,0.08428407886744986
117,572.0,200,0,2,135,8.721013601126378,0.08386265847311261
118,272.0,200,0,2,85,9.237114927555444,0.08344334518074704
119,141.0,200,0,1,60,14.137692814183097,0.0830261284548433
120,144.0,200,0,4,70,6.496725622793243,0.08261099781256909
121,9.0,65,1,2,16,7.431330817724256,0.08219794282350625
122,36.0,200,0,4,52,9.412207138161419,0.08178695310938872
123,-120.0,200,0,4,26,10.619536180665763,0.08137801834384177
124,566.0,200,0,2,134,7.3463237511564605,0.08097112825212256
125,665.0,200,0,5,160,6.333215301722535,0.08056627261086195
126,409.0,200,0,3,111,8.90435901564538,0.08016344124780764
127,133.0,200,0,3,65,8.449287999568242,0.0797626240415686
128,19.0,200,0,3,46,8.572298617814011,0.07936381092136076
129,383.0,200,0,5,113,7.992921811244035,0.07896699186675396
130,24.0,200,0,4,50,7.600437948588362,0.07857215690742018
131,54.0,200,0,4,55,9.836021612215143,0.07817929612288309
132,584.0,200,0,2,137,6.906737998890895,0.07778839964226868
133,278.0,200,0,2,86,6.977971216698132,0.07739945764405734
134,685.0,200,0,3,157,7.287650789930005,0.07701246035583706
135,193.0,200,0,3,75,8.652549187056238,0.07662739805405787
136,600.0,200,0,4,146,5.851536977162647,0.07624426106378758
137,345.0,200,0,1,94,8.563108043840408,0.07586303975846864
138,140.0,200,0,2,63,6.041219737882821,0.0754837245596763
139,50.0,200,0,2,48,6.290045001735416,0.0751063059368779
140,308.0,200,0,2,91,7.820974734613112,0.07473077440719351
141,808.0,200,0,0,168,7.289964492365794,0.07435712053515754
142,643.0,200,0,3,150,9.936571742739241,0.07398533493248176
143,848.0,200,0,2,181,9.108841691697211,0.07361540825781934
144,696.0,200,0,4,162,9.498564435955052,0.07324733121653025
145,767.0,200,0,5,177,7.546303558058912,0.0728810945604476
146,172.0,200,0,12,100,8.673731843505111,0.07251668908764536
147,-314.0,200,0,6,0,8.649791109649707,0.07215410564220713
148,-73.0,200,0,11,56,14.21740718151194,0.07179333511399609
149,70.0,200,0,6,64,9.8031612633832,0.07143436843842611
150,506.0,200,0,2,124,8.177179151463529,0.07107719659623399
151,355.0,200,0,3,102,8.326713958817962,0.07072181061325282
152,824.0,200,0,2,177,7.470441217181501,0.07036820156018656
153,80.0,200,0,2,53,8.29672780668487,0.07001636055238562
154,-129.0,200,0,1,15,8.729790610469433,0.0696662787496237
155,-196.0,200,0,2,7,8.794158290195123,0.06931794735587557
156,-303.0,200,0,7,5,7.473116819864981,0.06897135761909619
157,-174.0,200,0,4,17,12.143158122717146,0.0686265008310007
158,100.0,200,0,6,69,7.362870289281723,0.0682833683268457
159,259.0,200,0,3,86,12.261440256571454,0.06794195148521147
160,794.0,200,0,2,172,6.061324690716844,0.06760224172778541
161,445.0,200,0,3,117,10.830277621324548,0.06726423051914648
162,239.0,200,0,5,89,8.000862184323916,0.06692790936655076
163,186.0,200,0,4,77,7.9532694083471025,0.066593269819718
164,115.0,200,0,3,62,6.61359710479132,0.06626030347061941
165,64.0,200,0,6,63,7.587277463119408,0.06592900195326631
166,214.0,200,0,6,88,5.91838181645802,0.06559935694349998
167,546.0,200,0,4,137,6.175153749792856,0.06527136015878249
168,708.0,200,0,4,164,6.240597657188109,0.06494500335798857
169,642.0,200,0,4,153,11.719310403101712,0.06462027834119863
170,614.0,200,0,2,142,10.120618207953392,0.06429717694949263
171,606.0,200,0,4,147,12.663446495343397,0.06397569106474517
172,11.0,200,0,5,51,13.302248831667452,0.06365581260942144
173,-134.0,200,0,12,49,9.46287614037953,0.06333753354637432
174,533.0,200,0,5,138,6.216704216827229,0.06302084587864246
175,292.0,200,0,6,101,7.819532837846141,0.06270574164924925
176,402.0,200,0,4,113,9.616837050673068,0.062392212941003
177,181.0,200,0,3,73,10.183609075206538,0.06208025187629798
178,685.0,200,0,3,157,9.506893438134425,0.06176985061691649
179,632.0,200,0,2,145,9.280793960680509,0.06146100136383191
180,765.0,200,0,1,164,6.792415221214842,0.06115369635701275
181,173.0,200,0,5,78,13.069683750798681,0.06084792787522769
182,249.0,200,0,1,78,8.543164261189558,0.06054368823585155
183,244.0,200,0,0,74,6.359148479840947,0.06024096979467229
184,16.0,200,0,6,55,5.952252433330776,0.05993976494569893
185,-228.0,200,0,4,8,6.548896083809725,0.059640066120970434
186,270.0,200,0,4,91,6.68697035325641,0.05934186579036558
187,156.0,200,0,4,72,10.903163649593143,0.05904515646141375
188,117.0,200,0,1,56,10.79496272179274,0.05874993067910668
189,-200.0,200,0,0,0,8.873273072166093,0.058456181025711144
190,-55.0,200,0,5,40,6.380494856634041,0.05816390012058259
191,75.0,200,0,1,49,6.4516404483801875,0.05787308061997968
192,271.0,200,0,3,88,5.909576091483874,0.05758371521687978
193,373.0,200,0,3,105,8.829648215583317,0.05729579664079538
194,154.0,183,1,3,63,3.8088623231157417,0.0570093176575914
195,-65.0,200,0,3,32,7.293284669705251,0.056724271069303445
196,-155.0,200,0,3,17,9.252020944801838,0.056440649713956924
197,27.0,200,0,1,41,7.132601571444784,0.05615844646538714
198,-220.0,200,0,2,3,6.979071517998047,0.0558776542330602
199,-234.0,200,0,4,7,7.0834816571919115,0.0555982659618949
200,-259.0,200,0,5,6,6.747235673845412,0.05532027463208542
201,-227.0,200,0,3,5,8.056280875943292,0.055043673258924994
202,308.0,200,0,2,91,5.417086911921111,0.05476845489263037
203,-254.0,200,0,6,10,6.780330688419215,0.05449461261816722
204,-220.0,200,0,2,3,6.353390742451187,0.05422213955507638
205,-201.0,200,0,1,3,4.958054526749845,0.053951028857301
206,-155.0,200,0,3,17,5.598977019867144,0.053681273713014496
207,-253.0,200,0,5,7,4.3018312382188215,0.05341286734444942
208,-233.0,200,0,3,4,8.136833152299266,0.05314580300772718
209,-188.0,200,0,0,2,6.443365825494546,0.05288007399268854
210,87.0,200,0,1,51,11.191737616800879,0.0526156736227251
211,173.0,200,0,5,78,8.43996361204511,0.05235259525461148
212,564.0,200,0,4,140,9.067049258270679,0.052090832278338425
213,285.0,200,0,1,84,8.828045529370751,0.05183037811694673
214,211.0,200,0,3,78,4.530779749968141,0.051571226226361996
215,375.0,200,0,1,99,6.38297848312076,0.05131337009523019
216,280.0,200,0,0,80,5.2123332430364675,0.051056803244754034
217,298.0,200,0,0,83,2.698065893502362,0.05080151922853026
218,260.0,200,0,2,83,3.4457301014047927,0.05054751163238761
219,471.0,200,0,1,115,5.329028373483101,0.050294774074225675
220,297.0,200,0,1,86,1.8860265326760008,0.05004330020385454
221,465.0,200,0,1,114,5.915841648870677,0.04979308370283527
222,375.0,200,0,1,99,5.577875559370129,0.04954411828432109
223,310.0,200,0,0,85,3.2273250628974846,0.04929639769289949
224,-176.0,200,0,0,4,5.965927307650307,0.04904991570443499
225,-110.0,200,0,0,15,7.856184503663014,0.04880466612591281
226,514.0,200,0,0,119,5.0357546383510465,0.04856064279528325
227,320.0,200,0,2,93,2.8962310147066934,0.04831783958130683
228,32.0,200,0,2,45,5.90284122607821,0.0480762503834003
229,120.0,200,0,4,66,7.327482181787784,0.0478358691314833
230,221.0,200,0,5,86,6.2155233491503346,0.04759668978582588
231,489.0,200,0,1,118,7.727583665636654,0.047358706336896754
232,135.0,200,0,1,59,14.855877323676962,0.04712191280521227
233,316.0,200,0,0,86,3.931872003155011,0.04688630324118621
234,801.0,200,0,1,170,8.43503046959676,0.046651871724980275
235,246.0,200,0,4,87,9.256853126678203,0.046418612366355375
236,916.0,200,0,0,186,6.413982576756796,0.046186519304523596
237,775.0,200,0,3,172,6.986173603505847,0.04595558670800098
238,715.0,200,0,3,162,8.789338657939313,0.045725808774460974
239,764.0,200,0,2,167,10.477824331325714,0.04549717973058867
240,327.0,200,0,1,91,15.144955640689004,0.04526969383193573
241,788.0,200,0,2,171,10.001828319186625,0.04504334536277605
242,290.0,200,0,2,88,11.218561686182706,0.04481812863596217
243,296.0,200,0,2,89,8.164801203662229,0.04459403799278236
244,-241.0,200,0,17,47,12.952600276411985,0.04437106780281845
245,474.0,200,0,4,125,10.905420938834823,0.044149212463804356
246,-276.0,200,0,4,0,6.597285551841958,0.04392846640148534
247,669.0,200,0,1,148,8.545351682545542,0.04370882406947791
248,500.0,200,0,2,123,10.27999681148608,0.04349027994913052
249,879.0,200,0,1,183,5.53610674031291,0.04327282854938486
250,771.0,200,0,1,165,7.478635759891522,0.04305646440663794
251,265.0,200,0,3,87,11.59130775499315,0.04284118208460475
252,-280.0,200,0,14,31,18.401560900485205,0.04262697617418173
253,-312.0,200,0,10,13,12.436787887035484,0.04241384129331082
254,2.0,200,0,8,59,7.580535183192131,0.042201772086844266
255,175.0,200,0,9,91,6.72492754440678,0.041990763226410044
256,-337.0,200,0,11,12,7.499245260469387,0.041780809410277994
257,-114.0,200,0,4,27,6.8596578940452675,0.0415719053632266
258,26.0,200,0,2,44,7.13888069027145,0.04136404583641047
259,446.0,200,0,2,114,8.348219670309403,0.04115722560722842
260,224.0,200,0,2,77,5.676234227456064,0.040951439479192275
261,-183.0,200,0,1,6,5.975742576345381,0.040746682281796315
262,172.0,200,0,0,62,4.0699036616901445,0.040542948870387334
263,502.0,200,0,0,117,5.711060576825771,0.0403402341260354
264,584.0,200,0,2,137,7.8025559152788775,0.040138532955405225
265,171.0,200,0,1,65,8.19833929872519,0.0399378402906282
266,-200.0,200,0,0,0,5.570733608532664,0.039738151089175056
267,-219.0,200,0,1,0,5.0564871382589525,0.03953946033372918
268,-188.0,200,0,0,2,5.273488941451203,0.03934176303206054
269,-238.0,200,0,2,0,4.244864996651465,0.03914505421690023
270,-3.0,200,0,1,36,5.8806297389148225,0.03894932894581573
271,25.0,200,0,3,47,10.296210123236428,0.03875458230108665
272,800.0,200,0,2,173,7.946400572544908,0.038560809389581216
273,768.0,200,0,4,174,7.747266154184509,0.03836800534263331
274,819.0,200,0,1,173,8.968433217473141,0.03817616531592014
275,746.0,200,0,2,164,6.856317875596533,0.03798528448934054
276,934.0,200,0,0,189,9.92439543726831,0.03779535806689384
277,757.0,200,0,3,169,13.139707875863223,0.03760638127655937
278,836.0,200,0,2,179,7.988308484163176,0.03741834937017657
279,873.0,200,0,1,182,7.255340600697966,0.037231257623325686
280,780.0,200,0,4,176,8.1119435137461,0.03704510133520906
281,345.0,200,0,1,94,11.188367800097533,0.03685987582853301
282,-200.0,200,0,0,0,14.82715311793108,0.036675576449390346
283,-226.0,200,0,2,2,11.887986740922738,0.03649219856714339
284,128.0,200,0,2,61,22.017790244091966,0.03630973757430767
285,250.0,200,0,0,75,12.248066670810267,0.03612818888643613
286,866.0,200,0,2,184,6.143755102409148,0.03594754794200395
287,-244.0,200,0,20,56,10.558194755834984,0.03576781020229393
288,988.0,200,0,0,198,4.846491455914196,0.035588971151282456
289,272.0,200,0,2,85,3.6723266123932534,0.035411026295526046
290,213.0,200,0,1,72,2.874622174819052,0.03523397116404842
291,235.0,200,0,3,82,2.255156121011739,0.03505780130822817
292,-333.0,200,0,7,0,5.297131594994061,0.034882512301687034
293,-238.0,200,0,2,0,5.193004836963021,0.0347080997401786
294,-285.0,200,0,7,8,8.585149818541742,0.034534559241477705
295,291.0,200,0,1,85,7.135586869164059,0.034361886445270315
296,376.0,200,0,0,96,6.125886461506144,0.03419007701304396
297,303.0,200,0,1,87,8.405547264249961,0.03401912662797874
298,642.0,200,0,4,153,9.524754436494753,0.033849030994838845
299,339.0,200,0,1,93,6.8348579069037,0.033679785839864654
300,206.0,200,0,2,74,9.387650354002508,0.03351138691066533
301,475.0,200,0,3,122,7.810495983284323,0.033343829976112
302,231.0,200,0,1,75,6.881936787953621,0.03317711082623144
303,232.0,200,0,0,72,5.4918195167154735,0.033011225272100285
304,-200.0,200,0,0,0,8.271279615387623,0.03284616914573978
305,256.0,200,0,0,76,8.275912555544112,0.032681938300011086
306,369.0,200,0,1,98,7.190004086044509,0.03251852860851103
307,310.0,200,0,0,85,3.572234999609053,0.03235593596546848
308,-97.0,200,0,5,33,5.353323422982837,0.03219415628564114
309,-17.0,200,0,3,40,8.813654559582742,0.032033185504212934
310,357.0,200,0,1,96,2.414217450115635,0.03187301957669187
311,45.0,200,0,1,44,6.588937411493566,0.03171365447880841
312,-164.0,200,0,0,6,6.6526401847644605,0.03155508620641437
313,-75.0,200,0,7,43,4.534845595329956,0.0313973107753823
314,211.0,200,0,3,78,6.126277726830779,0.031240324221505387
315,-96.0,200,0,4,30,4.817899514436091,0.03108412260039786
316,13.0,200,0,3,45,3.2176809547866,0.03092870198739587
317,388.0,200,0,0,98,1.672237392141273,0.03077405847745889
318,952.0,200,0,0,192,6.000582378901686,0.030620188185071593
319,8.0,200,0,2,41,7.029273603877971,0.030467087244146235
320,897.0,200,0,1,186,6.150392175556046,0.030314751807925505
321,370.0,200,0,0,95,6.082487251029575,0.030163178048885877
322,843.0,200,0,1,177,7.664235383089076,0.030012362158641448
323,860.0,200,0,2,183,9.948521061705764,0.02986230034784824
324,320.0,200,0,2,93,8.236475467461922,0.029712988846109
325,695.0,200,0,5,165,11.927504859227847,0.029564423901878457
326,-408.0,200,0,22,35,9.979835742969476,0.029416601782369066
327,230.0,200,0,2,78,6.707663811250687,0.02926951877345722
328,639.0,200,0,1,143,5.925051961097572,0.029123171179589933
329,934.0,200,0,0,189,6.29944606416998,0.02897755532369198
330,339.0,200,0,1,93,3.760964773200905,0.02883266754707352
331,27.0,200,0,1,41,4.799938024069005,0.028688504209338155
332,279.0,200,0,1,83,8.457903388344308,0.028545061688291462
333,131.0,200,0,5,71,5.1906662297295,0.028402336379850006
334,-331.0,200,0,11,13,5.796736875846267,0.028260324697950756
335,-59.0,200,0,3,33,4.176766735428818,0.028119023074461003
336,-261.0,200,0,7,12,4.650910755134934,0.027978427959088698
337,-129.0,200,0,7,34,6.411730470467492,0.027838535819293252
338,556.0,200,0,0,126,6.129671769713832,0.027699343140196786
339,415.0,200,0,3,112,8.027320592575997,0.027560846424495803
340,560.0,200,0,2,133,8.973507666043945,0.027423042192373324
341,904.0,200,0,0,184,7.58789188681364,0.027285926981411458
342,800.0,200,0,2,173,9.187597193129248,0.0271494973465044
343,345.0,200,0,1,94,8.046229394652894,0.02701374985977188
344,685.0,200,0,3,157,11.16798026130025,0.026878681110473018
345,818.0,200,0,2,176,8.853833070174321,0.02674428770492065
346,603.0,200,0,1,137,8.178955915902945,0.02661056626639605
347,843.0,200,0,1,177,7.930548424967981,0.02647751343506407
348,952.0,200,0,0,192,5.70995727639043,0.026345125867888747
349,290.0,200,0,2,88,8.644198342106687,0.026213400238549303
350,-200.0,200,0,0,0,10.402476353341804,0.026082333237356557
351,-219.0,200,0,1,0,7.739347603458137,0.025951921571169774
352,-200.0,200,0,0,0,4.975362082543535,0.025822161963313925
353,620.0,200,0,2,143,13.673964774025558,0.025693051153497355
354,-57.0,200,0,7,46,13.241746571956568,0.025564585897729867
355,807.0,200,0,1,171,12.012216334717415,0.025436762968241218
356,885.0,200,0,1,184,7.966140464889113,0.02530957915340001
357,666.0,200,0,4,157,12.388230606761738,0.02518303125763301
358,238.0,200,0,0,73,7.707212995575771,0.025057116101344847
359,958.0,200,0,0,193,8.066093435505923,0.02493183052083812
360,800.0,200,0,2,173,9.732632835193247,0.02480717136823393
361,812.0,200,0,2,175,9.07233144154038,0.02468313551139276
362,274.0,200,0,0,79,10.06155081966337,0.024559719833835796
363,376.0,200,0,0,96,3.909510657683829,0.024436921234666616
364,-282.0,200,0,16,37,14.015876858321821,0.02431473662849328
365,-188.0,200,0,0,2,6.886506265525045,0.024193162945350816
366,293.0,200,0,5,98,12.179138301171529,0.02407219713062406
367,-250.0,200,0,14,36,10.060061704200313,0.02395183614497094
368,776.0,200,0,2,169,7.4104255956046226,0.023832076964246083
369,315.0,200,0,1,89,10.961047164219941,0.023712916579424852
370,328.0,200,0,0,88,3.5489649691409864,0.023594351996527728
371,679.0,200,0,3,156,8.202157653208566,0.02347638023654509
372,128.0,200,0,2,61,5.993357381872999,0.023358998335362365
373,386.0,200,0,2,104,8.565222405035593,0.02324220334368555
374,903.0,200,0,1,187,5.556812675591757,0.023125992326967125
375,304.0,200,0,0,84,8.065087389301738,0.023010362365332288
376,578.0,200,0,2,136,8.092982714158833,0.022895310553505625
377,844.0,200,0,0,174,5.584349830601715,0.022780834000738097
378,940.0,200,0,0,190,9.565694418292004,0.022666929830734407
379,807.0,200,0,1,171,9.160319548339316,0.022553595181580736
