episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
283,11.700000000000008,16,1,1,0,1,0.04865626475619124
284,11.700000000000008,16,1,1,0,1,0.04841298343241028
285,-46.09999999999998,34,1,1,2,1,0.048170918515248226
286,10.85000000000001,18,1,1,0,1,0.04793006392267198
287,10.950000000000008,17,1,1,0,1,0.047690413603058625
288,11.700000000000008,16,1,1,0,1,0.04745196153504333
289,11.700000000000008,16,1,1,0,1,0.047214701727368115
290,10.10000000000001,20,1,1,0,1,0.04697862821873128
291,11.30000000000001,17,1,1,0,1,0.04674373507763762
292,9.90000000000001,19,1,1,0,1,0.04651001640224943
293,10.60000000000001,19,1,1,0,1,0.04627746632023818
294,8.900000000000011,21,1,1,0,1,0.04604607898863699
295,10.050000000000008,18,1,1,0,1,0.0458158485936938
296,9.30000000000001,20,1,1,0,1,0.04558676935072533
297,11.700000000000008,16,1,1,0,1,0.045358835503971705
298,10.65000000000001,18,1,1,0,1,0.04513204132645185
299,9.850000000000009,19,1,1,0,1,0.04490638111981959
300,11.700000000000008,16,1,1,0,1,0.04468184921422049
301,6.950000000000009,20,1,1,0,2,0.04445843996814939
302,7.8500000000000085,18,1,1,0,2,0.04423614776830864
303,-19.39999999999998,28,1,1,1,1,0.0440149670294671
304,11.15000000000001,18,1,1,0,1,0.043794892194319764
305,10.350000000000009,18,1,1,0,1,0.043575917733348166
306,11.40000000000001,17,1,1,0,1,0.04335803814468143
307,11.700000000000008,16,1,1,0,1,0.04314124795395802
308,11.700000000000008,16,1,1,0,1,0.04292554171418823
309,10.100000000000012,20,1,1,0,1,0.04271091400561729
310,10.55000000000001,18,1,1,0,1,0.0424973594355892
311,11.700000000000008,16,1,1,0,1,0.042284872638411256
312,11.700000000000008,16,1,1,0,1,0.0420734482752192
313,10.250000000000009,18,1,1,0,1,0.041863081033843105
314,10.750000000000009,18,1,1,0,1,0.04165376562867389
315,11.700000000000008,16,1,1,0,1,0.04144549680053052
316,11.700000000000008,16,1,1,0,1,0.04123826931652787
317,10.150000000000007,18,1,1,0,1,0.04103207796994523
318,11.30000000000001,17,1,1,0,1,0.040826917580095504
319,11.700000000000008,16,1,1,0,1,0.040622782992195024
320,11.700000000000008,16,1,1,0,1,0.04041966907723405
321,11.700000000000008,16,1,1,0,1,0.04021757073184788
322,11.700000000000008,16,1,1,0,1,0.040016482878188646
323,10.350000000000009,18,1,1,0,1,0.0398164004637977
324,-86.29999999999993,150,0,0,1,0,0.039617318461478715
325,-16.599999999999927,85,1,1,0,1,0.039419231869171324
326,7.0500000000000185,27,1,1,0,1,0.03922213570982547
327,11.800000000000008,16,1,1,0,1,0.03902602503127634
328,11.700000000000008,16,1,1,0,1,0.03883089490611996
329,10.95000000000001,18,1,1,0,1,0.038636740431589364
330,11.700000000000008,16,1,1,0,1,0.038443556729431415
331,10.50000000000001,20,1,1,0,1,0.03825133894578426
332,11.800000000000008,16,1,1,0,1,0.03806008225105534
333,9.450000000000014,23,1,1,0,1,0.03786978183980006
334,11.05000000000001,18,1,1,0,1,0.03768043293060106
335,10.400000000000011,20,1,1,0,1,0.03749203076594806
336,9.850000000000009,19,1,1,0,1,0.03730457061211832
337,9.300000000000013,22,1,1,0,1,0.03711804775905773
338,10.750000000000009,18,1,1,0,1,0.03693245752026244
339,11.700000000000008,16,1,1,0,1,0.036747795232661126
340,11.40000000000001,17,1,1,0,1,0.03656405625649782
341,8.750000000000007,17,1,1,0,2,0.03638123597521533
342,11.700000000000008,16,1,1,0,1,0.036199329795339255
343,11.700000000000008,16,1,1,0,1,0.03601833314636256
344,11.700000000000008,16,1,1,0,1,0.03583824148063075
345,11.700000000000008,16,1,1,0,1,0.0356590502732276
346,11.700000000000008,16,1,1,0,1,0.03548075502186146
347,11.15000000000001,18,1,1,0,1,0.03530335124675215
348,11.700000000000008,16,1,1,0,1,0.03512683449051839
349,11.700000000000008,16,1,1,0,1,0.0349512003180658
350,-165.9999999999999,130,1,1,5,1,0.03477644431647547
351,11.700000000000008,16,1,1,0,1,0.03460256209489309
352,-19.39999999999998,28,1,1,1,1,0.034429549284418624
353,11.700000000000008,16,1,1,0,1,0.03425740153799653
354,11.200000000000008,17,1,1,0,1,0.03408611453030655
355,11.700000000000008,16,1,1,0,1,0.03391568395765502
356,9.95000000000001,19,1,1,0,1,0.03374610553786674
357,11.05000000000001,18,1,1,0,1,0.03357737501017741
358,11.700000000000008,16,1,1,0,1,0.03340948813512652
359,11.15000000000001,17,1,1,0,1,0.03324244069445089
360,10.450000000000008,18,1,1,0,1,0.03307622849097864
361,11.700000000000008,16,1,1,0,1,0.032910847348523745
362,8.40000000000001,20,1,1,0,1,0.03274629311178113
363,11.700000000000008,16,1,1,0,1,0.032582561646222225
