episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
159,7.55000000000001,19,1,1,0,2,0.09058926864694875
160,6.150000000000011,22,1,1,0,2,0.090136322303714
161,4.850000000000016,28,1,1,0,2,0.08968564069219544
162,5.150000000000009,19,1,1,0,3,0.08923721248873447
163,-70.1,55,1,1,2,6,0.08879102642629079
164,5.150000000000015,25,1,1,0,2,0.08834707129415934
165,3.0500000000000105,22,1,1,0,3,0.08790533593768854
166,-37.7,53,1,1,1,3,0.0874658092580001
167,-2.1999999999999744,40,1,1,0,2,0.0870284802117101
168,7.55000000000001,19,1,1,0,2,0.08659333781065155
169,0.6500000000000146,28,1,1,0,3,0.0861603711215983
170,-1.0999999999999837,32,1,1,0,2,0.0857295692659903
171,-2.7999999999999865,31,1,1,0,3,0.08530092141966035
172,6.400000000000011,22,1,1,0,2,0.08487441681256205
173,7.10000000000001,20,1,1,0,2,0.08445004472849925
174,5.100000000000012,23,1,1,0,2,0.08402779450485676
175,4.9500000000000135,26,1,1,0,2,0.08360765553233247
176,0.95000000000001,24,1,1,0,4,0.0831896172546708
177,5.300000000000013,24,1,1,0,2,0.08277366916839746
178,7.30000000000001,20,1,1,0,2,0.08235980082255547
179,-3.449999999999985,30,1,1,0,4,0.08194800181844268
180,4.100000000000011,24,1,1,0,2,0.08153826180935046
181,6.950000000000008,19,1,1,0,2,0.08113057050030371
182,3.3000000000000176,32,1,1,0,2,0.0807249176478022
183,-32.44999999999997,39,1,1,1,3,0.08032129305956318
184,-27.799999999999983,33,1,1,1,3,0.07991968659426536
185,7.200000000000009,19,1,1,0,2,0.07952008816129404
186,1.3000000000000167,33,1,1,0,2,0.07912248772048756
187,7.8500000000000085,18,1,1,0,2,0.07872687528188513
188,-10.349999999999987,26,1,1,0,8,0.0783332409054757
189,2.7500000000000098,22,1,1,0,3,0.07794157470094833
190,6.70000000000001,20,1,1,0,2,0.07755186682744358
191,6.80000000000001,20,1,1,0,2,0.07716410749330636
192,3.2000000000000126,26,1,1,0,2,0.07677828695583983
193,5.500000000000009,21,1,1,0,2,0.07639439552106063
194,7.8500000000000085,18,1,1,0,2,0.07601242354345533
195,6.200000000000009,20,1,1,0,2,0.07563236142573805
196,7.8500000000000085,18,1,1,0,2,0.07525419961860937
197,7.8500000000000085,18,1,1,0,2,0.07487792862051632
198,7.8500000000000085,18,1,1,0,2,0.07450353897741373
199,7.8500000000000085,18,1,1,0,2,0.07413102128252666
200,7.8500000000000085,18,1,1,0,2,0.07376036617611402
201,7.20000000000001,20,1,1,0,2,0.07339156434523345
202,6.70000000000001,20,1,1,0,2,0.07302460652350727
203,7.8500000000000085,18,1,1,0,2,0.07265948349088973
204,7.8500000000000085,18,1,1,0,2,0.07229618607343528
205,7.8500000000000085,18,1,1,0,2,0.0719347051430681
206,7.8500000000000085,18,1,1,0,2,0.07157503161735276
207,-33.949999999999974,39,1,1,1,4,0.071217156459266
208,4.000000000000008,20,1,1,0,3,0.07086107067696967
209,7.8500000000000085,18,1,1,0,2,0.07050676532358482
210,5.95000000000001,22,1,1,0,2,0.0701542314969669
211,7.55000000000001,19,1,1,0,2,0.06980346033948207
212,7.150000000000009,19,1,1,0,2,0.06945444303778466
213,6.450000000000011,21,1,1,0,2,0.06910717082259574
214,7.8500000000000085,18,1,1,0,2,0.06876163496848275
215,7.8500000000000085,18,1,1,0,2,0.06841782679364034
216,6.1000000000000085,20,1,1,0,2,0.06807573765967213
217,1.1500000000000128,24,1,1,0,4,0.06773535897137377
218,-3.649999999999981,37,1,1,0,2,0.0673966821765169
219,2.000000000000008,20,1,1,0,4,0.0670596987656343
220,7.150000000000009,19,1,1,0,2,0.06672440027180614
221,7.8500000000000085,18,1,1,0,2,0.0663907782704471
222,7.8500000000000085,18,1,1,0,2,0.06605882437909487
